zaxis,yaxis,H,Na,K,Mg,Ca,Ba,Ti,V,Mn,Fe,Ni,Cu,Ag,Zn,B,Al,C,Si,Pb,REE,U,F,Cl,O,S,Se,P,As,Sb,Bi
Cl,Fe,0.107894737,0.065789474,0.034210526,0.010526316,0.060526316,0.018421053,0.018421053,0,0.023684211,0.147368421,0.010526316,0.013157895,0,0,0.013157895,0.010526316,0.002631579,0.068421053,0.013157895,0.010526316,0,0.005263158,0.147368421,0.131578947,0.023684211,0,0,0.010526316,0,0.002631579
Cl,Ni,0.013157895,0,0.002631579,0,0,0,0,0,0,0.010526316,0.018421053,0.007894737,0,0,0,0,0,0,0,0,0,0,0.018421053,0.013157895,0.005263158,0,0,0,0,0
Cl,Cu,0.152631579,0.026315789,0.044736842,0.007894737,0.028947368,0,0,0.010526316,0.005263158,0.013157895,0.007894737,0.231578947,0.007894737,0.018421053,0.002631579,0.015789474,0.007894737,0.005263158,0.052631579,0.002631579,0,0.002631579,0.231578947,0.218421053,0.034210526,0.026315789,0.005263158,0.031578947,0.010526316,0.007894737
Cl,Ag,0.005263158,0,0.002631579,0,0,0,0,0,0,0,0,0.007894737,0.021052632,0.002631579,0,0,0,0,0.010526316,0,0,0.002631579,0.021052632,0.007894737,0.010526316,0,0,0,0.002631579,0
Cl,Zn,0.023684211,0.002631579,0.013157895,0,0,0,0,0,0,0,0,0.018421053,0.002631579,0.036842105,0.002631579,0,0,0,0.005263158,0,0,0,0.036842105,0.031578947,0.002631579,0.005263158,0,0.002631579,0,0
Cl,B,0.073684211,0.010526316,0.010526316,0.023684211,0.042105263,0.007894737,0.007894737,0.002631579,0.010526316,0.013157895,0,0.002631579,0,0.002631579,0.092105263,0.010526316,0.005263158,0.021052632,0.007894737,0,0,0.002631579,0.092105263,0.092105263,0.005263158,0,0,0,0,0
Cl,Al,0.097368421,0.068421053,0.039473684,0.021052632,0.078947368,0.007894737,0.002631579,0,0,0.010526316,0,0.015789474,0,0,0.010526316,0.15,0.023684211,0.089473684,0.007894737,0,0,0.010526316,0.15,0.15,0.05,0,0.002631579,0.005263158,0.002631579,0
Cl,C,0.060526316,0.028947368,0.010526316,0.013157895,0.034210526,0.007894737,0,0,0.007894737,0.002631579,0,0.007894737,0,0,0.005263158,0.023684211,0.081578947,0.026315789,0.015789474,0.007894737,0,0.005263158,0.081578947,0.081578947,0.023684211,0,0.002631579,0,0,0
Cl,Si,0.147368421,0.115789474,0.047368421,0.018421053,0.144736842,0.039473684,0.031578947,0.005263158,0.052631579,0.068421053,0,0.005263158,0,0,0.021052632,0.089473684,0.026315789,0.221052632,0.021052632,0.013157895,0,0.021052632,0.221052632,0.221052632,0.036842105,0,0.002631579,0.002631579,0,0
Cl,Pb,0.102631579,0.007894737,0.013157895,0.005263158,0.013157895,0.002631579,0,0.010526316,0.007894737,0.013157895,0,0.052631579,0.010526316,0.005263158,0.007894737,0.007894737,0.015789474,0.021052632,0.236842105,0,0,0.015789474,0.236842105,0.197368421,0.044736842,0.010526316,0.005263158,0.042105263,0.023684211,0.007894737
